hidden_layers,n_layers,total_units,learning_rate,alpha,batch_size,n_iterations,val_mae,val_rmse,test_mae,test_rmse
"(64, 32)",2,96,0.003,0.0009,8,15,0.362590886971936,0.4693292680662587,0.353825889701627,0.4298708870775274
"(64, 32)",2,96,0.003,0.0009,9,15,0.36862031985228205,0.46378846024105086,0.36074674095633336,0.43338740030373957
"(64, 32)",2,96,0.003,0.0009,10,15,0.37150073723493404,0.47449647017880103,0.3631357356112383,0.4353705819702991
"(64, 32)",2,96,0.0031,0.0001,6,13,0.3833329296261007,0.46862597315713433,0.37117900423761263,0.44150542092106576
"(64, 32)",2,96,0.0031,0.0001,7,13,0.38019741060637585,0.46113540337759545,0.3631111858244182,0.42927353097039433
"(64, 32)",2,96,0.0031,0.0001,8,15,0.3579748793884513,0.469357090886241,0.34687607725984826,0.42993848593111716
"(64, 32)",2,96,0.0031,0.0001,9,15,0.36771111683930346,0.46817250847830477,0.36297265873015466,0.4371769967852533
"(64, 32)",2,96,0.0031,0.0001,10,15,0.3663090783878342,0.46930597376813354,0.3597971139711665,0.4331941395022042
"(64, 32)",2,96,0.0031,0.0002,6,15,0.35583907112244634,0.4690177814619331,0.3372059905436599,0.41984555839297083
"(64, 32)",2,96,0.0031,0.0002,7,13,0.37843403906768996,0.4618275826314045,0.3634468895007718,0.43374405042695835
"(64, 32)",2,96,0.0031,0.0002,8,15,0.36078109836918015,0.46650469569493913,0.3507904342896208,0.4308159424147209
"(64, 32)",2,96,0.0031,0.0002,9,15,0.36581747304682666,0.46791310809052794,0.358013839612255,0.43161865602240546
"(64, 32)",2,96,0.0031,0.0002,10,15,0.36322706290199475,0.46631037209132525,0.3568014870143235,0.43075491896792195
"(64, 32)",2,96,0.0031,0.0003,6,13,0.3824390258948244,0.4665637482115844,0.37027842834654107,0.44106702244924956
"(64, 32)",2,96,0.0031,0.0003,7,13,0.37918666718224436,0.46121038297684314,0.3632231344271647,0.4324782294745568
"(64, 32)",2,96,0.0031,0.0003,8,15,0.35793423321878265,0.46544575213208084,0.3464374509834336,0.42770620343102633
"(64, 32)",2,96,0.0031,0.0003,9,15,0.36723394621421723,0.4693796405673306,0.35822737278174743,0.4351094718847116
"(64, 32)",2,96,0.0031,0.0003,10,15,0.36697739168605265,0.4712069961891054,0.3602453706023342,0.43584799950724706
"(64, 32)",2,96,0.0031,0.0004,6,15,0.3530224043002788,0.46035056823716713,0.33366322497312695,0.4166458638707263
"(64, 32)",2,96,0.0031,0.0004,7,15,0.35103087414560274,0.47036412982548376,0.33102555652881,0.4198149049758321
